,站號,站名,海拔高度(m),城市,經度,緯度,地址
101,C0C720,竹圍,21.0,桃園市,121.239824,25.112692,大園區沙崙段沙崙小號00719-000建號(竹圍第一機動巡邏隊樓頂)
102,C0C730,中大臨海站,5.0,桃園市,121.008581,24.966126,新屋區蚵殼港段深圳小段52-41號土地(中央大學臨海工作站)
103,C0C740,觀音工業區,5.3,桃園市,121.114856,25.064764,觀音區經建七路5號(觀音工業區汙水處理廠迴流汙泥站機房樓頂)
104,C0D360,梅花,523.0,新竹縣,121.208558,24.678347,尖石鄉梅花村1鄰11號(梅花國小校園內)
105,C0D390,關西,146.0,新竹縣,121.173947,24.798228,關西鎮北斗里北門口41號(關西國中校園內)
106,C0D430,峨眉,87.0,新竹縣,121.017189,24.6905,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內)
107,C0D480,打鐵坑,223.0,新竹縣,121.150789,24.849664,新埔鎮新北里8鄰大北坑28號旁
108,C0D540,橫山,227.0,新竹縣,121.11693,24.71116,橫山鄉橫山村橫山段426-6地號上
109,C0D550,雪霸,1956.0,新竹縣,121.11605,24.526972,五峰鄉桃山村民石380號(雪霸農場內)
110,C0D560,竹東,147.0,新竹縣,121.057881,24.767147,竹東鎮二重國民小學校園內
111,C0D580,寶山,120.0,新竹縣,121.025192,24.735006,寶山鄉新湖路280號旁
112,C0D590,新豐,143.0,新竹縣,120.97721,24.87068,新豐鄉松柏村康和路199號(小叮噹科學主題樂園)
113,C0D650,湖口,97.0,新竹縣,121.043628,24.904794,湖口鄉信勢村三鄰成功路109號(湖口消防分隊)
114,C0D660,新竹市東區,65.0,新竹市,120.986947,24.798676,東區光復路二段321號（工研院光復院區6館）
115,C0D670,海天一線,23.0,新竹市,120.914438,24.831986,北區(海天一線看海公園)
116,C0D680,香山濕地,24.0,新竹市,121.914988,24.783581,香山區西濱路三段500巷17號
117,C0D690,外湖,20.0,新竹縣,120.968711,24.917735,新豐鄉新豐段00369-000建號(外湖守望哨樓頂)
118,C0E420,竹南,19.0,苗栗縣,120.888897,24.708978,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內)
119,C0E430,南庄,258.0,苗栗縣,121.000214,24.601775,南庄鄉東村文化路3號(南庄國小校園內)
120,C0E520,大湖,320.0,苗栗縣,120.87087,24.41494,大湖鄉大寮村5鄰竹高屋34-1號附近
121,C0E540,後龍,32.0,苗栗縣,120.783933,24.606489,後龍鎮後龍溪橋旁高地
122,C0E550,明德,84.0,苗栗縣,120.885411,24.583486,頭屋鄉明德水庫水利工作站屋頂上
123,C0E590,通霄,40.0,苗栗縣,120.704622,24.471892,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內)
124,C0E610,馬都安,850.0,苗栗縣,120.930192,24.451272,泰安鄉錦水村(由泰安開車約2小時瞭望台旁)
125,C0E730,頭份,26.0,苗栗縣,120.912206,24.688247,頭份市中正路219號(苗栗縣頭份鎮頭份國小校園內)
126,C0E740,造橋,27.0,苗栗縣,120.864778,24.637056,造橋鄉造橋村14鄰3號(造橋國小)
127,C0E750,苗栗,62.0,苗栗縣,120.824575,24.564569,苗栗市中正路241號(建功國小)
128,C0E780,銅鑼,160.0,苗栗縣,120.790853,24.489681,銅鑼鄉福興村文化街1號(銅鑼國小)
129,C0E790,卓蘭,344.0,苗栗縣,120.824753,24.312764,卓蘭鎮中山路127號(卓蘭鎮公所)
130,C0E810,西湖,53.0,苗栗縣,120.7485,24.562947,西湖鄉二湖村2鄰22號(僑文國小)
